specialization,fee,wait_time,num_patients,location,experience_years,experience_level_category,avg_patient_handling_capacity,num_appointments_today,appointment_load,previous_day_availability,is_available_today,shift_duration_hours,day,month,weekday,is_weekend,doctor_Name
70,1.2080444087467557,0.0,2.0971976340986953,3,-0.3277968557058306,1,0.9369804416573035,1.3697540033343387,0.625183207451829,1,0,-0.6299664675792962,1,1,0,0,263
70,0.35412724499119247,0.0,2.0542040425853267,3,-0.686367986277757,1,-0.8451196140438427,-0.6637019504737242,-0.43181011188629986,0,1,-0.6299664675792962,2,1,1,0,682
70,0.35412724499119247,0.0,-0.15280032176760375,3,-0.686367986277757,1,-0.8451196140438427,-1.1941687210323493,-0.9913948103593938,1,0,1.2399667848200138,3,1,2,0,1118
62,1.6350029906245374,0.0,2.0971976340986953,3,0.4610596315524075,2,0.9369804416573035,1.3697540033343387,0.625183207451829,0,0,-0.6299664675792962,4,1,3,0,2188
68,0.7810858268689741,0.0,2.0971976340986953,3,0.030774274866095797,2,0.9369804416573035,-1.0173464641794743,-1.0535708879675094,0,1,-0.6299664675792962,5,1,4,0,255
59,1.2080444087467557,0.0,1.194332212317951,3,-0.11265417736267476,2,0.9369804416573035,1.0161094896285887,0.3764788970192181,1,1,-1.8765886358455028,6,1,5,1,158
64,0.35412724499119247,0.0,2.0971976340986953,3,-0.8297964385065276,1,-0.8451196140438427,-0.8405242073265992,-0.6183383447106645,0,1,1.863277868953117,7,1,6,1,350
64,1.6350029906245374,0.0,2.0971976340986953,3,-0.25608262959144534,2,0.9369804416573035,-1.1057575926059118,-1.1157469655756431,1,1,1.2399667848200138,8,1,0,0,2295
70,1.2080444087467557,0.0,2.0971976340986953,3,-0.25608262959144534,2,0.9369804416573035,1.1045206180550262,0.4386549746274641,0,0,-1.2532775517123995,9,1,1,0,996
1,0.7810858268689741,0.0,-0.6801883776649273,3,-0.686367986277757,1,-0.8451196140438427,0.22040933379065103,0.5008310522355237,1,1,-0.0066553834461929055,10,1,2,0,2362
64,-0.07283133688658919,0.0,2.0971976340986953,3,-0.3995110818202159,1,-0.8451196140438427,0.3972315906435261,0.6873592850598882,0,0,0.6166557006869104,11,1,3,0,1823
64,1.6350029906245374,0.0,2.0971976340986953,3,-0.686367986277757,1,-0.8451196140438427,-1.1057575926059118,-0.8981306939472116,0,1,-1.2532775517123995,12,1,4,0,857
64,2.061961572502319,0.0,2.0971976340986953,3,0.8913449882387192,2,0.9369804416573035,0.13199820536421353,-0.24528187906193524,0,0,-0.0066553834461929055,13,1,5,1,1626
64,0.7810858268689741,0.0,-0.43369178632161304,3,-0.47122530793460116,1,-0.8451196140438427,-1.4594021063116618,-1.271187159595941,0,0,-1.2532775517123995,14,1,6,1,1115
58,0.7810858268689741,0.0,0.6268168043414832,3,-0.25608262959144534,2,0.9369804416573035,1.7233985170400887,0.873887517884253,0,0,-0.6299664675792962,15,1,0,0,1940
70,1.6350029906245374,0.0,1.3548416206345277,3,-0.11265417736267476,2,0.9369804416573035,-1.5478132347380993,-1.4266273536162442,1,1,0.6166557006869104,16,1,1,0,29
64,1.6350029906245374,0.0,-0.020953307793272865,3,-0.04093995124828949,2,0.9369804416573035,0.7508761043492761,0.1899506641949096,0,0,-0.0066553834461929055,17,1,2,0,155
70,1.2080444087467557,0.0,2.0971976340986953,3,0.10248850098048108,2,0.9369804416573035,0.7508761043492761,0.1899506641949096,1,1,-0.0066553834461929055,18,1,3,0,1867
58,1.2080444087467557,0.0,1.6873253950045797,3,-0.9015106646209129,1,-0.8451196140438427,1.1929317464814637,1.5267363327695291,1,0,-0.0066553834461929055,19,1,4,0,364
64,1.2080444087467557,0.0,2.0971976340986953,3,-0.686367986277757,1,-0.8451196140438427,1.1929317464814637,1.5267363327695291,1,0,-0.6299664675792962,20,1,5,1,96
70,0.7810858268689741,0.0,2.0971976340986953,3,-0.3277968557058306,1,0.9369804416573035,0.6624649759228386,0.12777458658679425,0,0,0.6166557006869104,21,1,6,1,481
64,-0.07283133688658919,0.0,-0.5483413636905964,3,-0.9732248907352982,1,-0.8451196140438427,-0.6637019504737242,-0.43181011188629986,1,0,0.6166557006869104,22,1,0,0,2304
64,0.7810858268689741,0.0,2.0971976340986953,3,-0.7580822123921422,1,-0.8451196140438427,-0.4868796936208491,-0.24528187906193524,0,0,1.2399667848200138,23,1,1,0,1433
